issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,fetch_error,page_title
1,GSA.gov,https://www.gsa.gov/,https://www.gsa.gov/,200,true,false,109,true,1968,126,49,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r78,,false,0,0,0,0,,axe.analyze is not a function,,Home | GSA
1,GSA.gov,https://www.gsa.gov/about-us/newsroom/news-releases,https://www.gsa.gov/about-us/newsroom/news-releases,200,true,false,213,true,1849,127,3,42,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,News releases | GSA
1,GSA.gov,https://www.gsa.gov/about-us/newsroom/news-releases/gsa-and-cohesity-partnership-delivers-discounts-for-cybersecurity-protections-01082026,https://www.gsa.gov/about-us/newsroom/news-releases/gsa-and-cohesity-partnership-delivers-discounts-for-cybersecurity-protections-01082026,200,true,false,118,true,1707,118,7,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,GSA and Cohesity Partnership Delivers Discounts for Cybersecurity Protections | GSA
1,GSA.gov,https://www.gsa.gov/website-information/accessibility-statement?footer=gsa,https://www.gsa.gov/website-information/accessibility-statement?footer=gsa,200,true,false,338,true,1933,131,6,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,Accessibility statement | GSA
1,GSA.gov,https://www.gsa.gov/about-us/mission-and-background?topnav=about-us,https://www.gsa.gov/about-us/mission-and-background?topnav=about-us,200,true,false,113,true,1702,129,5,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,Mission and background | GSA
1,GSA.gov,https://www.gsa.gov/travel/travel-and-lodging-services/travel-category-schedule?topnav=travel,https://www.gsa.gov/travel/travel-and-lodging-services/travel-category-schedule?topnav=travel,200,true,false,114,true,1782,140,7,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,Travel category schedule | GSA
1,GSA.gov,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives/integrated-award-environment/iae-systems-information-kit/unique-entity-identifier-update,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives/integrated-award-environment/iae-systems-information-kit/unique-entity-identifier-update,200,true,false,132,true,1973,136,4,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,Unique Entity Identifier update | GSA
1,GSA.gov,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives,https://www.gsa.gov/about-us/organization/federal-acquisition-service/fas-initiatives,200,true,false,114,true,1599,117,6,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,FAS initiatives | GSA
1,GSA.gov,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract?topnav=sell-to-government,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract?topnav=sell-to-government,200,true,false,111,true,1761,130,9,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,Step 2: Compete for a contract | GSA
1,GSA.gov,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract/certify-as-a-small-business,https://www.gsa.gov/sell-to-government/step-2-compete-for-a-contract/certify-as-a-small-business,200,true,false,115,true,1844,129,10,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,Certify as a small business | GSA
1,GSA.gov,https://www.gsa.gov/policy-regulations/policy/federal-advisory-committee-management?topnav=policy-regulations,https://www.gsa.gov/policy-regulations/policy/federal-advisory-committee-management?topnav=policy-regulations,200,true,false,112,true,1698,122,5,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66,,false,0,0,0,0,,axe.analyze is not a function,,Federal Advisory Committee Act (FACA) Management Overview | GSA
