issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
146,MN.gov,https://mn.gov/ (Home page),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=31cbeda4-e886-4714-b5ca-44e0afa39395&ssb=81378251009&ssc=https%3A%2F%2Fmn.gov%2F%2520%28Home%2520page%29%2F&ssi=455dea3b-bf56-4edc-8e22-ca3cfac88419&ssk=support@shieldsquare.com&ssm=73124888193317883102742021064593&ssn=1fa0cbff0d64fda3cc716fa32fc20ce975214d41b234-def2-4137-8c890b&sso=218bc0e1-d671fc10155239d2bdf3bb53dd85abd7e1a0c5bab54d2e27&ssp=63477776141773468746177343002749851&ssq=49631302089813837110620898627419639714464&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,8042,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/mnit/government/policies/accessibility/ (Accessibility statement),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=3a4de381-8ed1-4b63-894a-e4d3a0fd8316&ssb=51703241448&ssc=https%3A%2F%2Fmn.gov%2Fmnit%2Fgovernment%2Fpolicies%2Faccessibility%2F%2520%28Accessibility%2520statement%29&ssi=41279396-bf56-487e-b36b-4c982bbffb06&ssk=support@shieldsquare.com&ssm=29539819139464012108852738193113&ssn=a94910c12accdec1ff116655fc42e3bf45c1b5e7eb85-c247-4372-9f6940&sso=f92563a4-049383c2b08ea7141bd324365e6ffe462e343e5c12688551&ssp=17854973211773469261177341331487523&ssq=64563262090610928217920906416352026978368&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4676,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/portal/search/ (Search results page),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=700e1643-0dea-48eb-b82e-2b2232d03159&ssb=80610264402&ssc=https%3A%2F%2Fmn.gov%2Fportal%2Fsearch%2F%2520%28Search%2520results%2520page%29&ssi=f7184095-bf56-4bca-8c83-97cf2d953de5&ssk=support@shieldsquare.com&ssm=76940706525488875107870340181236&ssn=5c248c031a597b64c467d76e037a313898e3bba33b7a-1e95-4b8a-b1ea87&sso=bbbbf8f7-3a9e56aa7ba4e8b7b1852ef19d136eab193d4dd39dfe2a64&ssp=65347445521773493998177347133463660&ssq=15243442091151928695920911051364313094950&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4583,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/mnit/about-mnit/accessibility/ (About page),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=e4ae3742-7b58-462c-a147-b4771154425b&ssb=28982263295&ssc=https%3A%2F%2Fmn.gov%2Fmnit%2Fabout-mnit%2Faccessibility%2F%2520%28About%2520page%29&ssi=db843ee5-bf56-4245-b6a2-b522e657c598&ssk=support@shieldsquare.com&ssm=76969094440435580102965923136605&ssn=1e013e7442a6977fb7df443a0c7d37df0d98c08ef7ed-ea07-415c-8d9dfe&sso=0747f3ba-30d8ce11aef96d9ef883dfc79422a7b476286f3cff142326&ssp=74881472871773450441177346402286927&ssq=97037532091581876418220915218424220647668&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4721,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/showcase/examples/pages/flex-layouts/main-landing-page.jsp (Complex Landing Page Template),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=726ed69e-6d44-407b-9919-fd54c1fc8a15&ssb=01459299602&ssc=https%3A%2F%2Fmn.gov%2Fshowcase%2Fexamples%2Fpages%2Fflex-layouts%2Fmain-landing-page.jsp%2520%28Complex%2520Landing%2520Page%2520Template%29&ssi=c4587530-bf56-4809-8597-ca6e12edaab3&ssk=support@shieldsquare.com&ssm=79839054212068212104482368345029&ssn=c8fe81ad159c68f50047b73ed25f8db971ac9f4007ce-3cf3-46c9-8bf120&sso=b3dec090-faefe62b09330bfa158118787cc975561cdc805cd8b254be&ssp=96164171361773477179177345277444517&ssq=99699142092029881067420920787618458429719&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4463,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/mnit/about-mnit/accessibility/electronic-documents/index.jsp (High-density structured content),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=dff390f5-d14f-48af-adcd-1db33be6c563&ssb=42161274341&ssc=https%3A%2F%2Fmn.gov%2Fmnit%2Fabout-mnit%2Faccessibility%2Felectronic-documents%2Findex.jsp%2520%28High-density%2520structured%2520content%29&ssi=ae88c1c1-bf56-48ea-81b8-26057db2d4ea&ssk=support@shieldsquare.com&ssm=40520923620233453106909380307226&ssn=8457e20eecd9a4b5546075b2440e04f119f52797a709-352d-4feb-a1abb8&sso=5a8922ad-d2f07ac3b599f7c44c6b7fccbf633a4d703ba62f4ec5f79b&ssp=46081815771773480053177347059425747&ssq=75697312092488083215620924427198213237824&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4742,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/mnit/about-mnit/accessibility/news/ (News/Article list),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=920d079b-d423-4a26-8c38-cc13f95ca71b&ssb=29480208945&ssc=https%3A%2F%2Fmn.gov%2Fmnit%2Fabout-mnit%2Faccessibility%2Fnews%2F%2520%28News%2FArticle%2520list%29&ssi=01ef8c42-bf56-4d29-a5eb-92fc3ebbad28&ssk=support@shieldsquare.com&ssm=51571610557419683107123622188168&ssn=c919e05dd718711759b8d10d01080a1c5adaac1fb1f2-003f-4628-9e72f2&sso=57ff7caa-962c0f1f9f5cca3c5da9900ab19227cfce7d19f38a165c51&ssp=40715129431773422617177342285579707&ssq=05874122092913319761220929481306604525485&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4474,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/mnit/media/blog/?id=38-472949 (Single article template),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=9c196b2e-3024-43ee-afaa-3cb645520f07&ssb=06279210261&ssc=https%3A%2F%2Fmn.gov%2Fmnit%2Fmedia%2Fblog%2F%3Fid%3D38-472949%2520%28Single%2520article%2520template%29&ssi=2cc8bbff-bf56-4950-8565-bd8c543d7fc2&ssk=support@shieldsquare.com&ssm=10303850720946161104150654429864&ssn=97fa2bc4b8e9d400bde7e59a2eff60de828775ee9d2d-a93f-4b3d-a5e7ad&sso=6856d0ff-f029adb00fbc783d5b3036bc5a0da1a193c8974dd0ef8402&ssp=44189129271773493789177346039416027&ssq=74816922093369446796320933671953780167571&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4695,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/showcase/examples/pages/flex-layouts/index.jsp (Category/Topic landing page),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=bc57ef7f-ec64-4280-a8c8-c928906aec11&ssb=47948213149&ssc=https%3A%2F%2Fmn.gov%2Fshowcase%2Fexamples%2Fpages%2Fflex-layouts%2Findex.jsp%2520%28Category%2FTopic%2520landing%2520page%29&ssi=a65fc962-bf56-4b06-b35b-a56af439c421&ssk=support@shieldsquare.com&ssm=03495959912681322106461148990026&ssn=fc5bb77567f90e39fbb7a59d7efd5d1fb068c01b6ce5-1304-4297-83b01a&sso=5d631fd7-3ce0dd5370a6fe2ac176838a43bf196aa3b78c28abfa3b5e&ssp=63494597491773489964177346993450119&ssq=12600642093821111781020938824163089173897&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4783,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
146,MN.gov,https://mn.gov/governor/ (Executive branch template),http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=23865487-b616-4321-a3d8-675bcae7984d&ssb=71691256109&ssc=https%3A%2F%2Fmn.gov%2Fgovernor%2F%2520%28Executive%2520branch%2520template%29&ssi=6766f31c-bf56-4e6a-9cb6-660a37e485dc&ssk=support@shieldsquare.com&ssm=77889869095643213107925851404686&ssn=27e88e7ec41dbfef59fa6615a20374225d86f0512465-4197-41ed-82d12a&sso=7e61c214-704cf1ebab028135a043cd3129cc5c75d907734a9ec2cb72&ssp=70752939151773420014177349394861555&ssq=70724702094325934504720943499365549211757&ssr=NC4yNDYuMTM1LjE5Mg==&sst=alfa-scan-bot/0.1&ssu=&ssv=&ssw=&ssx=W10=,200,true,true,4730,false,0,0,0,0,,Skipped (not requested),true,149,10,1,53,color-contrast;html-has-lang;landmark-one-main;page-has-heading-one;region,,true,236,12,10,2,4,0,aria_content_in_landmark;element_attribute_deprecated;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),3,,Radware Bot Manager Captcha
