issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
211,MD AI Accessbility Scan,https://ai.maryland.gov/,https://ai.maryland.gov/,200,true,false,11183,false,0,0,0,0,,Skipped (not requested),true,777,0,21,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,431,11,149,1,QW-ACT-R30;QW-ACT-R76,,9,,Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-action,https://ai.maryland.gov/,200,true,true,9301,false,0,0,0,0,,Skipped (not requested),true,778,0,21,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,431,11,149,1,QW-ACT-R30;QW-ACT-R76,,9,,Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-inventory,https://ai.maryland.gov/ai-inventory,200,true,false,9577,false,0,0,0,0,,Skipped (not requested),true,653,0,20,42,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,380,8,138,1,QW-ACT-R76,,7,,AI Inventory | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-inventory/maryland-ai-use-cases,https://ai.maryland.gov/ai-inventory/maryland-ai-use-cases,200,true,false,14055,false,0,0,0,0,,Skipped (not requested),true,3814,0,56,38,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,2482,6,776,105,QW-ACT-R76,,5,,Maryland AI Use Cases | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-inventory/systems-and-software-use,https://ai.maryland.gov/ai-inventory/systems-and-software-use,200,true,false,8984,false,0,0,0,0,,Skipped (not requested),true,857,0,130,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,591,6,246,1,QW-ACT-R76,,5,,Systems and Software in Use | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-maryland,https://ai.maryland.gov/ai-maryland,200,true,false,8368,false,0,0,0,0,,Skipped (not requested),true,681,0,14,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,379,3,138,1,QW-ACT-R76,,2,,AI in Maryland | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-maryland/legislation,https://ai.maryland.gov/ai-maryland/legislation,200,true,false,8407,false,0,0,0,0,,Skipped (not requested),true,711,0,55,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,458,17,182,1,QW-ACT-R76,,16,,Legislation | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-maryland/news-and-updates,https://ai.maryland.gov/ai-maryland/news-and-updates,200,true,false,9115,false,0,0,0,0,,Skipped (not requested),true,871,0,33,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,540,37,170,1,QW-ACT-R76,,36,,News and updates | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-maryland/strategy,https://ai.maryland.gov/ai-maryland/strategy,200,true,false,10714,false,0,0,0,0,,Skipped (not requested),true,1160,0,69,42,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,695,15,287,1,QW-ACT-R76,,14,,Strategy | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/ai-maryland/using-ai-responsibly,https://ai.maryland.gov/ai-maryland/using-ai-responsibly,200,true,false,8973,false,0,0,0,0,,Skipped (not requested),true,643,0,18,42,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,379,7,139,1,QW-ACT-R76,,6,,Using AI Responsibly | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/contacts/maryland-ai,https://ai.maryland.gov/contacts/maryland-ai,200,true,false,14228,false,0,0,0,0,,Skipped (not requested),true,602,1,7,41,landmark-unique,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,334,7,120,1,QW-ACT-R76,,6,,Maryland AI | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/guidance-support,https://ai.maryland.gov/guidance-support,200,true,false,8708,false,0,0,0,0,,Skipped (not requested),true,692,0,17,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,391,6,148,1,QW-ACT-R76,,5,,Guidance &amp; Support | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/guidance-support/ai-community-practice,https://ai.maryland.gov/guidance-support/ai-community-practice,200,true,false,12181,false,0,0,0,0,,Skipped (not requested),true,768,0,25,42,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,467,23,158,1,QW-ACT-R76,,22,,AI Community of Practice | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/guidance-support/ai-office-hours,https://ai.maryland.gov/guidance-support/ai-office-hours,200,true,false,8998,false,0,0,0,0,,Skipped (not requested),true,646,0,6,42,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,369,9,134,1,QW-ACT-R76,,8,,AI Office Hours | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/guidance-support/open-source-tools,https://ai.maryland.gov/guidance-support/open-source-tools,200,true,false,9157,false,0,0,0,0,,Skipped (not requested),true,660,0,10,43,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,380,10,135,1,QW-ACT-R76,,9,,Open Source Tools | Maryland AI
211,MD AI Accessbility Scan,https://ai.maryland.gov/guidance-support/policies,https://ai.maryland.gov/guidance-support/policies,200,true,false,9406,false,0,0,0,0,,Skipped (not requested),true,659,0,14,42,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,376,8,139,1,QW-ACT-R76,,7,,Policies | Maryland AI
