issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/,https://www.maryland.gov/,200,true,false,38001,true,1369,50,2,43,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r66,,true,1148,0,50,43,,,true,2639,27,17,10,17,0,aria_content_in_landmark;aria_role_redundant;element_tabbable_visible;figure_label_exists;input_label_visible;label_name_visible;page_title_valid;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_quoted_correctly;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,744,16,199,5,QW-ACT-R30;QW-ACT-R76,,63,,Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/benefits/housing-and-property,https://www.maryland.gov/benefits/housing-and-property,200,true,false,26137,true,1328,84,12,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1148,0,64,43,,,true,2271,13,13,0,7,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,751,32,214,5,QW-ACT-R76,,105,,Housing and Property | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/services/taxes/individual-taxes,https://www.maryland.gov/services/taxes/individual-taxes,200,true,false,28942,true,1214,77,14,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1056,0,60,43,,,true,2160,13,13,0,7,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,688,30,198,5,QW-ACT-R76,,96,,Individual Taxes | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/terms-use,https://www.maryland.gov/terms-use,200,true,false,29212,true,919,34,2,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,721,0,31,44,,,true,1443,11,11,0,7,0,aria_content_in_landmark;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,481,4,137,5,QW-ACT-R76,,29,,Maryland.gov Acceptable Use &amp; Linking Policy | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/your-government/state-government,https://www.maryland.gov/your-government/state-government,200,true,false,30823,true,1173,78,2,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1039,0,30,43,,,true,1850,15,14,1,9,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,681,29,178,5,QW-ACT-R76,,96,,State Government | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/benefits/health-and-medical,https://www.maryland.gov/benefits/health-and-medical,200,true,false,32061,true,1389,91,12,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1190,0,73,43,,,true,2367,13,13,0,7,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,788,36,225,5,QW-ACT-R76,,116,,Health and Medical | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/benefits/families-and-children,https://www.maryland.gov/benefits/families-and-children,200,true,false,35574,true,1501,103,13,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1383,2,87,38,aria-prohibited-attr;button-name,,true,2590,18,18,0,11,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;frame_src_valid;html_lang_exists;html_skipnav_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,849,44,244,5,QW-ACT-R76,,136,,Benefits for Families and Children | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/accessibility-policy,https://www.maryland.gov/accessibility-policy,200,true,false,32692,true,845,41,2,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,720,0,14,43,,,true,1410,10,10,0,6,0,aria_content_in_landmark;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,471,11,124,5,QW-ACT-R76,,43,,Statewide Accessibility Policy | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/benefits/older-adults,https://www.maryland.gov/benefits/older-adults,200,true,false,35554,true,1305,85,12,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1122,0,63,43,,,true,2208,13,13,0,7,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,737,32,212,5,QW-ACT-R76,,106,,Benefits for Older Adults | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/benefits/financial-assistance,https://www.maryland.gov/benefits/financial-assistance,200,true,false,36378,true,1992,150,12,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1660,0,152,43,,,true,3467,13,13,0,7,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,1143,75,324,5,QW-ACT-R76,,214,,Financial Assistance | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/business-and-work/doing-business-maryland-government,https://www.maryland.gov/business-and-work/doing-business-maryland-government,200,true,false,35556,true,1183,91,2,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1036,0,42,43,,,true,2018,14,14,0,7,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;figure_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,662,36,188,5,QW-ACT-R76,,112,,Doing Business with Maryland Government | Maryland.gov
218,https://www.maryland.gov/,chromium,both,desktop,1280,800,https://www.maryland.gov/your-government/elections-and-voting,https://www.maryland.gov/your-government/elections-and-voting,200,true,false,36115,true,1169,78,2,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66,,true,1017,0,28,43,,,true,1813,14,14,0,8,0,aria_complementary_labelled;aria_content_in_landmark;aria_descendant_valid;aria_role_redundant;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_sensory_misuse,,true,92,0,0,0,0,0,,,true,661,27,176,5,QW-ACT-R76,,92,,Elections and Voting | Maryland.gov
