issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,duplicate_findings,fetch_error,page_title
28,USA Cities over 100k,https://www.nyc.gov/,https://www.nyc.gov/main,200,true,true,13509,true,1147,45,1,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73,,true,811,2,57,48,aria-valid-attr-value;heading-order,,true,3643,117,87,30,110,0,aria_child_valid;aria_content_in_landmark;aria_keyboard_handler_exists;combobox_haspopup_valid;element_id_unique;element_tabbable_unobscured;figure_label_exists;frame_src_valid;input_label_visible;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;target_spacing_sufficient;text_block_heading;text_contrast_sufficient,,true,80,12,12,0,0,0,keyboard-accessible/scrollable-region;labels-and-names/aria-dialog-name;labels-and-names/frame-title-unique;landmarks/region;navigable/empty-heading;navigable/heading-order;text-alternatives/image-alt-words,,45,,Official Website of New York City Government - nyc.gov
28,USA Cities over 100k,https://lacity.gov/,https://lacity.gov/,403,false,false,43245,true,812,122,8,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r78;https://alfa.siteimprove.com/rules/sia-r80,,true,850,6,12,35,aria-allowed-attr;aria-hidden-focus;color-contrast;landmark-unique,,true,2951,142,103,39,67,0,aria_child_valid;aria_complementary_labelled;aria_content_in_landmark;aria_hidden_nontabbable;aria_keyboard_handler_exists;aria_landmark_name_unique;aria_navigation_label_unique;aria_region_labelled;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;svg_graphics_labelled;text_block_heading;text_contrast_sufficient;text_quoted_correctly;widget_tabbable_single,,true,86,6,6,0,0,0,aria/aria-hidden-focus;aria/presentational-children-focusable;distinguishable/color-contrast,,140,,Access Denied
28,USA Cities over 100k,http://www.queensbp.org/,http://www.queensbp.org/,,false,false,51,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
28,USA Cities over 100k,https://www.houstontx.gov/,https://www.houstontx.gov/,400,false,false,2986,true,7,4,0,80,https://alfa.siteimprove.com/rules/sia-r4;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r78;https://alfa.siteimprove.com/rules/sia-r87,,true,6,4,0,80,html-has-lang;landmark-one-main;page-has-heading-one;region,,true,19,4,4,0,1,0,aria_content_in_landmark;html_lang_exists;html_skipnav_exists;skip_main_exists,,true,88,4,4,0,0,0,landmarks/landmark-main;landmarks/region;navigable/page-has-heading-one;readable/html-has-lang,,0,,Error
28,USA Cities over 100k,http://manhattanbp.nyc.gov/html/home/home.shtml,https://www.manhattanbp.nyc.gov/html/home/home.shtml,404,false,true,14299,true,569,31,27,54,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,432,2,0,50,link-name,,true,934,59,35,24,45,0,a_text_purpose;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;img_alt_null;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;text_sensory_misuse,,true,90,2,2,0,0,0,navigable/link-name,,45,,
28,USA Cities over 100k,https://www.phoenix.gov/,https://www.phoenix.gov/,200,true,false,32013,true,2568,96,31,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,1611,3,51,40,aria-hidden-focus;heading-order;label-title-only,,true,5300,98,69,29,64,0,aria_child_tabbable;aria_content_in_landmark;aria_form_label_unique;aria_hidden_nontabbable;aria_keyboard_handler_exists;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;element_tabbable_visible;form_submit_button_exists;frame_src_valid;input_label_visible;label_name_visible;label_ref_valid;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;svg_graphics_labelled;text_block_heading;text_contrast_sufficient;text_sensory_misuse;widget_tabbable_exists,,true,79,13,13,0,0,0,aria/aria-hidden-focus;distinguishable/color-contrast;labels-and-names/duplicate-id-aria;landmarks/region;navigable/heading-order,,101,,Home | City of Phoenix
28,USA Cities over 100k,https://phila.gov/,https://www.phila.gov/,200,true,true,18926,true,1744,213,14,54,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r2;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r78,,true,1180,52,8,53,image-alt;landmark-one-main;landmark-unique;list;region,,true,3849,219,113,106,131,0,aria_attribute_valid;aria_child_valid;aria_content_in_landmark;aria_contentinfo_misuse;aria_landmark_name_unique;aria_navigation_label_unique;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;img_alt_valid;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_contrast_sufficient;text_sensory_misuse,,true,79,13,13,0,0,0,adaptable/list-children;aria/aria-allowed-attr;keyboard-accessible/nested-interactive;labels-and-names/frame-title;labels-and-names/label-content-mismatch;landmarks/landmark-main;landmarks/region;text-alternatives/img-alt,,306,,City of Philadelphia
28,USA Cities over 100k,http://bronxboropres.nyc.gov/,https://bronxboropres.nyc.gov/,200,true,true,26079,true,2964,261,73,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74,,true,922,16,108,43,aria-prohibited-attr;button-name;color-contrast;heading-order;image-redundant-alt;list;region,,true,6925,264,187,77,148,0,aria_attribute_valid;aria_child_valid;aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;blockquote_cite_exists;element_attribute_deprecated;element_id_unique;element_tabbable_role_valid;element_tabbable_unobscured;heading_markup_misuse;input_label_exists;input_label_visible;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;svg_graphics_labelled;text_block_heading;text_contrast_sufficient;widget_tabbable_exists,,true,0,96,96,0,0,0,adaptable/list-children;adaptable/listitem-parent;aria/aria-hidden-focus;distinguishable/color-contrast;distinguishable/link-in-text-block;keyboard-accessible/focus-order;labels-and-names/button-name;landmarks/region;navigable/heading-order;text-alternatives/image-redundant-alt,,270,,"Office of the Bronx Borough President, NY"
28,USA Cities over 100k,https://www.sa.gov/,https://www.sa.gov/Home,200,true,true,13843,true,1175,16,9,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r83,,true,789,2,24,39,heading-order;landmark-unique,,true,2076,26,25,1,27,0,aria_content_in_landmark;aria_eventhandler_role_valid;aria_keyboard_handler_exists;aria_region_label_unique;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;frame_src_valid;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_contrast_sufficient;text_sensory_misuse,,true,89,3,3,0,0,0,landmarks/landmark-unique;landmarks/region;navigable/heading-order,,10,,Home  - City of San Antonio
28,USA Cities over 100k,https://www.sandiego.gov/,https://www.sandiego.gov/,200,true,false,22360,true,1942,93,59,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78,,true,1121,2,4,44,color-contrast,,true,3255,25,25,0,13,0,aria_attribute_redundant;aria_content_in_landmark;aria_form_label_unique;aria_role_redundant;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;fieldset_legend_valid;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;target_spacing_sufficient;text_contrast_sufficient,,true,81,11,11,0,0,0,aria/aria-allowed-role;landmarks/banner-is-top-level;landmarks/contentinfo-is-top-level;landmarks/region;text-alternatives/image-alt-words,,71,,City of San Diego Official Website
