issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int,https://www.iom.int/,200,true,false,9365,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,"International Organization for Migration | IOM, UN Migration"
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/community-stabilization,https://www.iom.int/community-stabilization,200,true,false,10385,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Community stabilization | International Organization for Migration
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/unlocking-potential-youth-respond-new-challenges-and-opportunities-migration,https://www.iom.int/unlocking-potential-youth-respond-new-challenges-and-opportunities-migration,200,true,false,12476,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Unlocking the potential of youth to respond to the new challenges and opportunities of migration | International Organization for Migration
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/fr/journee-internationale-de-la-femme-2025,https://www.iom.int/fr/journee-internationale-de-la-femme-2025,200,true,false,12155,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Journée internationale de la femme 2025 | International Organization for Migration
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/fr/covid-19-documents-dinformation,https://www.iom.int/fr/covid-19-documents-dinformation,200,true,false,12497,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,COVID-19 : Documents d&#039;information | International Organization for Migration
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/fr/paix-et-relevement,https://www.iom.int/fr/paix-et-relevement,200,true,false,13738,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Paix et relèvement | International Organization for Migration
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/fr/why-iom-matters/statelessness-shelter,https://www.iom.int/fr/why-iom-matters/statelessness-shelter,200,true,false,14713,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,"D&#039;apatride, elle devient coordinatrice des hébergements | International Organization for Migration"
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/fr/journee-internationale-des-migrants-2023,https://www.iom.int/fr/journee-internationale-des-migrants-2023,200,true,false,14901,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Journée internationale des migrants 2023 | International Organization for Migration
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/safe-dignified-return-stranded-migrants-yemen,https://www.iom.int/safe-dignified-return-stranded-migrants-yemen,200,true,false,13028,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,"Safe, Dignified Return for Stranded Migrants in Yemen | International Organization for Migration"
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/consciously-made-ukraine-svidomo-made,https://www.iom.int/consciously-made-ukraine-svidomo-made,200,true,false,13217,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Consciously Made in Ukraine: SVIDOMO MADE | International Organization for Migration
335,https://www.iom.int,chromium,both,desktop,1280,800,https://www.iom.int/fr/fonds-de-loim-pour-le-developpement-foire-aux-questions,https://www.iom.int/fr/fonds-de-loim-pour-le-developpement-foire-aux-questions,200,true,false,13825,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,true,25,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Foire aux questions | International Organization for Migration
