issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/service-manual/helping-people-to-use-your-service/getting-an-accessibility-audit,https://www.gov.uk/service-manual/helping-people-to-use-your-service/getting-an-accessibility-audit,200,true,true,11530,false,0,0,0,0,,Skipped (not requested),true,838,3,0,46,page-has-heading-one;region,,true,2193,11,9,2,6,0,aria_content_in_landmark;element_attribute_deprecated;input_label_visible;style_color_misuse;style_highcontrast_visible;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),2,,Getting an accessibility audit - Service Manual - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/service-manual/helping-people-to-use-your-service/testing-for-accessibility,https://www.gov.uk/service-manual/helping-people-to-use-your-service/testing-for-accessibility,200,true,true,10969,false,0,0,0,0,,Skipped (not requested),true,835,3,0,46,page-has-heading-one;region,,true,2278,8,8,0,3,0,aria_content_in_landmark;element_attribute_deprecated;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Testing for accessibility - Service Manual - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/find-hmrc-contacts/online-debit-and-credit-card-payment-support,https://www.gov.uk/find-hmrc-contacts/online-debit-and-credit-card-payment-support,200,true,true,10269,false,0,0,0,0,,Skipped (not requested),true,569,2,0,46,region,,true,1557,10,9,1,5,0,aria_content_in_landmark;element_attribute_deprecated;input_label_visible;style_color_misuse;style_highcontrast_visible;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),1,,Online debit and credit card payment support - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/find-hmrc-contacts/technical-support-with-vat-online-services,https://www.gov.uk/find-hmrc-contacts/technical-support-with-vat-online-services,200,true,true,11053,false,0,0,0,0,,Skipped (not requested),true,643,2,0,46,region,,true,1726,11,9,2,6,0,aria_content_in_landmark;element_attribute_deprecated;input_label_visible;style_color_misuse;style_highcontrast_visible;text_block_heading,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),2,,Technical support with VAT online services - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/find-licences/domiciliary-support-service-registration-wales,https://www.gov.uk/find-licences/domiciliary-support-service-registration-wales,200,true,true,11269,false,0,0,0,0,,Skipped (not requested),true,500,2,0,48,region,,true,1325,10,10,0,4,0,aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;input_label_visible;style_color_misuse;style_highcontrast_visible;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Domiciliary support service registration (Wales) - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/find-licences/support-services-providing-day-care-to-adults-registration-scotland,https://www.gov.uk/find-licences/support-services-providing-day-care-to-adults-registration-scotland,200,true,true,12312,false,0,0,0,0,,Skipped (not requested),true,599,2,0,48,region,,true,1515,9,9,0,3,0,aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Support services providing day care to adults registration (Scotland) - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/government/news/help-find-new-ways-to-ease-global-disruption-apply-for-funding,https://www.gov.uk/government/news/help-find-new-ways-to-ease-global-disruption-apply-for-funding,200,true,true,13123,false,0,0,0,0,,Skipped (not requested),true,647,2,0,44,region,,true,1764,13,11,2,8,0,aria_content_in_landmark;blockquote_cite_exists;element_attribute_deprecated;input_label_visible;style_color_misuse;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),2,,Help find new ways to ease global disruption: apply for funding - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/government/news/new-find-a-job-service-to-support-thousands-of-jobseekers-into-work,https://www.gov.uk/government/news/new-find-a-job-service-to-support-thousands-of-jobseekers-into-work,200,true,true,13698,false,0,0,0,0,,Skipped (not requested),true,605,2,0,44,region,,true,1653,23,19,4,16,0,aria_content_in_landmark;aria_role_redundant;blockquote_cite_exists;element_attribute_deprecated;element_tabbable_unobscured;figure_label_exists;input_label_visible;style_color_misuse;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),4,,New ‘Find a Job’ service to support thousands of jobseekers into work - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/government/news/publication-of-dwp-research-report-707-employment-and-support-allowance-findings-from-a-face-to-face-survey-of-customers,https://www.gov.uk/government/news/publication-of-dwp-research-report-707-employment-and-support-allowance-findings-from-a-face-to-face-survey-of-customers,200,true,true,13458,false,0,0,0,0,,Skipped (not requested),true,652,3,0,44,link-name;region,,true,1707,12,12,0,4,0,a_text_purpose;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_tabbable_visible;figure_label_exists;input_label_visible;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Publication  of DWP research report 707: Employment and Support Allowance: findings from a  face-to-face survey of customers - GOV.UK
58,GOV.UK,chromium,both,desktop,1280,800,https://gov.uk/government/news/publication-of-dwp-research-report-745-employment-and-support-allowance-findings-from-a-follow-up-survey-of-customers,https://www.gov.uk/government/news/publication-of-dwp-research-report-745-employment-and-support-allowance-findings-from-a-follow-up-survey-of-customers,200,true,true,12860,false,0,0,0,0,,Skipped (not requested),true,633,2,0,44,region,,true,1674,12,12,0,5,0,aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;figure_label_exists;input_label_visible;style_color_misuse;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Publication  of DWP research report 745: employment and support allowance: findings from a  follow-up survey of  customers - GOV.UK
