issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
67,Colorado.gov,https://colorado.gov/,https://www.colorado.gov/,200,true,true,21724,true,650,35,8,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73,,true,524,1,7,47,aria-hidden-focus,,true,1698,28,25,3,22,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,89,3,3,0,0,0,aria/aria-hidden-focus;labels-and-names/label-content-mismatch,,true,273,6,61,2,QW-ACT-R13;QW-ACT-R30;QW-ACT-R37,,33,,Home | colorado.gov
67,Colorado.gov,https://colorado.gov/accessibility-standards,https://www.colorado.gov/accessibility-standards,200,true,true,19226,true,571,25,0,53,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73,,true,422,1,0,52,page-has-heading-one,,true,1325,17,17,0,12,0,aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_quoted_correctly,,true,89,3,3,0,0,0,labels-and-names/label-content-mismatch;navigable/heading-order,,true,237,0,50,2,,,21,,Accessibility Standards | colorado.gov
67,Colorado.gov,https://colorado.gov/registered-services,https://www.colorado.gov/registered-services,200,true,true,17593,true,766,26,1,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73,,true,545,4,0,52,landmark-main-is-top-level;landmark-no-duplicate-main;landmark-unique;page-has-heading-one,,true,1667,21,21,0,10,0,aria_content_in_landmark;aria_main_label_unique;aria_main_label_visible;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible,,true,86,6,6,0,0,0,labels-and-names/label-content-mismatch;landmarks/landmark-main;landmarks/main-is-top-level;landmarks/no-duplicate-main;navigable/heading-order,,true,319,0,56,2,,,21,,Registered Services | colorado.gov
67,Colorado.gov,https://colorado.gov/services,https://www.colorado.gov/services,200,true,true,24986,true,893,156,58,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r8,,true,739,17,8,46,aria-hidden-focus;list;region;select-name,,true,2348,61,59,2,40,0,aria_content_in_landmark;aria_form_label_unique;aria_hidden_nontabbable;aria_id_unique;aria_role_redundant;aria_role_valid;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,87,5,5,0,0,0,aria/aria-hidden-focus;labels-and-names/label-content-mismatch;navigable/skip-link,,true,355,19,103,2,QW-ACT-R13;QW-ACT-R30;QW-ACT-R37;QW-ACT-R76,,156,,Services | colorado.gov
67,Colorado.gov,https://colorado.gov/supported-browsers,https://www.colorado.gov/supported-browsers,200,true,true,15857,true,519,26,1,53,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73,,true,406,4,0,52,landmark-main-is-top-level;landmark-no-duplicate-main;landmark-unique;page-has-heading-one,,true,1277,21,21,0,10,0,aria_content_in_landmark;aria_main_label_unique;aria_main_label_visible;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible,,true,86,6,6,0,0,0,labels-and-names/label-content-mismatch;landmarks/landmark-main;landmarks/main-is-top-level;landmarks/no-duplicate-main;navigable/heading-order,,true,218,0,48,2,,,21,,Supported Browsers | colorado.gov
67,Colorado.gov,https://colorado.gov/articles,https://www.colorado.gov/articles,200,true,true,20301,true,702,62,1,54,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r59;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,643,4,2,50,aria-hidden-focus;list;page-has-heading-one;region,,true,2064,36,36,0,25,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_id_unique;aria_role_redundant;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,87,5,5,0,0,0,aria/aria-hidden-focus;labels-and-names/label-content-mismatch;navigable/page-has-heading-one;navigable/skip-link,,true,304,2,74,2,QW-ACT-R13;QW-ACT-R76,,54,,Articles | colorado.gov
67,Colorado.gov,https://colorado.gov/business,https://www.colorado.gov/business,200,true,true,17761,true,667,40,12,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73,,true,522,1,6,47,aria-hidden-focus,,true,1662,32,27,5,26,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,89,3,3,0,0,0,aria/aria-hidden-focus;labels-and-names/label-content-mismatch,,true,284,10,62,2,QW-ACT-R13;QW-ACT-R30;QW-ACT-R37,,42,,Business | colorado.gov
67,Colorado.gov,https://colorado.gov/contact-us,https://www.colorado.gov/contact-us,200,true,true,16847,true,534,31,0,53,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73,,true,427,1,1,51,page-has-heading-one,,true,1389,23,23,0,17,0,aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,88,4,4,0,0,0,labels-and-names/label-content-mismatch;navigable/heading-order,,true,220,0,51,2,,,24,,Contact Us | colorado.gov
67,Colorado.gov,https://colorado.gov/education,https://www.colorado.gov/education,200,true,true,16927,true,659,38,8,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73,,true,516,1,4,47,aria-hidden-focus,,true,1632,32,27,5,26,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,89,3,3,0,0,0,aria/aria-hidden-focus;labels-and-names/label-content-mismatch,,true,280,8,60,2,QW-ACT-R13;QW-ACT-R30;QW-ACT-R37,,38,,Education | colorado.gov
67,Colorado.gov,https://colorado.gov/employment,https://www.colorado.gov/employment,200,true,true,17024,true,663,39,10,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73,,true,519,1,5,47,aria-hidden-focus,,true,1647,32,27,5,26,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,89,3,3,0,0,0,aria/aria-hidden-focus;labels-and-names/label-content-mismatch,,true,282,9,61,2,QW-ACT-R13;QW-ACT-R30;QW-ACT-R37,,40,,Employment | colorado.gov
67,Colorado.gov,https://colorado.gov/general-notices,https://www.colorado.gov/general-notices,200,true,true,18360,true,617,25,0,53,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r73,,true,453,1,0,51,page-has-heading-one,,true,1425,16,16,0,10,0,aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible,,true,90,2,2,0,0,0,labels-and-names/label-content-mismatch,,true,248,0,48,2,,,21,,General Notices | colorado.gov
